,date,lon,lat,type,elevation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,distance_light,distance_water,Temperature,U_Wind,V_wind,Precipitation,NDVI,Pop,year_precipitation,month
0,2014/10/15,127.9939939,44.63864686,0,439,0,0,100,0,0,0,0,0,0,0,0,0,57.90203442,30.1022897,278.4727914,0.451615896,1.011306895,0.000521568,0.487704981,7,663,10
1,2014/12/24,119.9278,34.37605,1,0,19,0,0,0,0,0,0,57,24,0,0,0,7.804068837999999,0.0,275.9591413,0.766670495,-0.428427185,7.540000000000002e-07,0.145380005,2,812,12
2,2015/3/28,116.53258,42.41843,1,1250,0,12,0,0,15,47,27,0,0,0,0,0,27.09339336,4.762400277,278.6403329,1.6265663330000002,-1.769492311,0.000102239,0.183265002,13,372,3
3,2016/7/17,132.68198,45.4046,1,70,23,68,0,0,0,0,9,0,0,0,0,0,38.02258935,9.747440462,294.3103725,-0.025640283,-0.453675091,0.0007567180000000001,0.722404981,7,581,7
4,2014/8/20,137.14600000000002,51.359,1,75,0,20,0,0,28,0,52,0,0,0,0,0,59.00408910000001,17.36608559,294.6031276,-0.550705765,1.177997027,0.00052201,0.83667002,0,520,8
5,2016/5/7,83.24545679,45.37980301,0,1934,6,46,0,0,6,42,0,0,0,0,0,0,80.22348817,9.822128357,280.37733239999994,0.6286329629999999,-1.4271483930000002,0.003122196,0.42100498,1,334,5
6,2015/11/28,118.76188,38.09009,1,0,35,33,0,0,0,10,0,0,0,22,0,0,9.071179962999999,2.854794301,274.4166434,2.017490855,-2.344384023,0.000403576,0.034170001,2,582,11
7,2014/7/1,132.84303,45.15077,1,80,5,83,0,0,0,0,13,0,0,0,0,0,52.03522433,0.426472948,296.7230704,1.705032144,3.550801022,0.0008236039999999999,0.72105,3,608,7
8,2015/12/9,121.1636788,44.45615397,0,213,27,23,0,0,0,50,0,0,0,0,0,0,29.18763061,15.43500259,265.8209359,0.570196084,-1.092976246,3.65e-05,0.181440002,21,391,12
9,2016/6/26,116.23878,40.003857,1,79,0,38,0,0,5,6,0,0,0,0,0,51,0.0,2.710220255,299.2175729,0.103404462,0.256606779,0.002896684,0.51255498,10997,645,6
10,2014/10/12,133.8851,48.33524,1,43,0,49,9,0,0,10,32,0,0,0,0,0,42.72397664,6.118561841,278.1266044,1.52231729,0.149303524,0.000490238,0.39875,1,651,10
11,2016/6/3,134.60759199999998,48.253537,1,35,0,68,0,0,8,0,24,0,0,0,0,0,13.54086405,1.901722401,288.3120684,-1.7531908580000002,1.4520483869999998,0.000527501,0.6729,9,667,6
12,2016/4/12,84.77594404,46.25580075,0,634,50,0,0,0,0,27,0,0,0,23,0,0,39.38437309,12.23264021,282.2957982,3.8574043,-0.6925956520000001,0.000218849,0.067059998,1,166,4
13,2016/4/6,109.7454035,21.81213714,0,37,0,39,0,27,11,0,23,0,0,0,0,0,14.31981579,8.203347776000001,298.6995543999999,-1.246580856,1.597211736,0.0007357110000000001,0.64308999,190,1492,4
14,2018/12/26,111.7609982,33.22801369,0,315,0,78,0,0,0,11,10,0,0,0,0,0,22.85299456,5.382454824,274.96878050000004,-0.697750509,0.171875442,0.000248234,0.38443501,276,784,12
15,2014/10/11,133.44252,46.14608,1,55,14,30,0,0,3,14,40,0,0,0,0,0,44.84037491,4.278238183,279.0814863,1.327861633,-0.26311139100000003,0.002594657,0.31776499,1,608,10
16,2015/5/9,114.7130505,34.91636042,0,77,0,100,0,0,0,0,0,0,0,0,0,0,7.021326873,0.922376935,292.0061907,0.4828191020000001,0.243783781,0.002143909,0.60394502,119,610,5
17,2016/7/10,112.727,47.81100000000001,1,870,17,26,0,0,0,57,0,0,0,0,0,0,175.7113395,7.140661284,299.2031511,0.498769505,-0.169326493,0.000180289,0.50467002,0,222,7
18,2015/10/8,121.2016754,51.23276025,0,863,14,0,0,0,49,7,31,0,0,0,0,0,87.07670192,51.40947919,277.185512,-0.024776437,0.28918645600000004,8.590000000000001e-05,0.397494995,0,479,10
19,2015/3/23,129.29036000000002,42.75481,1,271,33,61,0,0,0,0,6,0,0,0,0,0,9.380865082,16.7901128,275.966884,2.9650159730000003,0.20930091,1.6e-05,0.22471499,90,557,3
20,2016/3/8,116.45584,28.95875,1,10,0,17,0,2,0,26,0,55,0,0,0,0,22.66742581,0.0,285.38419889999994,-1.252394646,-0.657491199,0.00610336,0.1732,0,1423,3
21,2015/8/17,123.06907,46.22917,1,134,27,18,0,0,0,34,0,21,0,0,0,0,11.37815569,0.028758521,295.508279,0.075935568,0.931603372,0.003139667,0.56612002,17,399,8
22,2015/9/26,112.9998088,41.3027162,0,1715,0,48,0,0,0,52,0,0,0,0,0,0,20.14339152,9.261667992000001,282.7034956,1.82509504,-1.708403255,0.001349232,0.3411,3,364,9
23,2014/6/4,116.5817731,40.55473843,0,1003,0,0,0,0,14,0,86,0,0,0,0,0,20.56423254,16.14469043,292.9979291,0.008443526,-0.302041067,0.002348819,0.76733501,7,544,6
24,2016/12/3,115.59705,40.3,1,475,0,52,0,0,0,11,0,37,0,0,0,0,3.396973675,0.014114815,272.72484039999995,2.519545368,0.106112003,7.890000000000001e-05,0.12325,43,421,12
25,2014/7/16,118.78287240000002,44.92590957,0,1023,14,35,0,0,0,51,0,0,0,0,0,0,7.252207687,25.16033889,293.0845947,0.437602094,1.076128091,0.001699708,0.568229981,5,387,7
26,2016/5/28,117.4760513,48.59112952,0,633,0,69,0,0,0,31,0,0,0,0,0,0,39.88226185,13.40104921,284.7680185,2.8533760480000003,-0.110578231,0.000215451,0.303975,0,275,5
27,2019/1/24,113.1304235,29.61392928,0,26,0,100,0,0,0,0,0,0,0,0,0,0,9.465756993,5.848921093,279.97504530000003,-0.515748407,-0.674292288,1.82e-06,0.415654981,251,1274,1
28,2019/2/28,116.2088704,29.81426563,1,13,0,69,0,0,0,0,0,6,26,0,0,0,7.1209271639999985,0.0,280.7204677,-0.5698377920000001,-1.606449894,0.00379989,0.259219995,292,1446,2
29,2018/12/25,121.964774,48.95564705,0,880,36,17,0,0,6,0,42,0,0,0,0,0,34.31769565,40.41171245,251.2209691,3.4110579660000004,-1.366175971,5.16e-05,0.174269995,0,510,12
30,2012/11/19,115.32930790000002,29.15323756,0,267,0,17,0,22,8,0,35,0,0,19,0,0,25.47750944,7.028819978,283.1908351,0.093464511,-0.2076768,0.003921698,0.73320498,20,1390,11
31,2015/7/20,94.58989143,36.38714232,0,2818,41,27,0,0,0,32,0,0,0,0,0,0,28.89895889,50.63762837,291.9437735,2.507616264,-0.7317202140000001,3.23e-06,0.092470001,174,37,7
32,2014/10/31,128.02902,43.57962,1,490,27,43,0,0,16,0,2,12,0,0,0,0,6.8804024089999976,0.0,275.90304130000004,1.670642444,-0.292018826,0.000298176,0.364975,49,650,10
33,2014/9/22,106.0954618,30.81673391,0,293,0,24,0,0,0,1,4,27,0,0,0,43,0.0,0.0,295.4899772,-0.594913244,-0.146391988,0.001015086,0.459075,15225,1041,9
