date,lon,lat,type,elevation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,distance_light,night light,distance_water,Temperature,Air_pressure,U_Wind,V_wind,Precipitation,NDVI
2006/3/16,105.3806539,31.34281674,0,399,0,64,0,0,2,0,33,0,0,0,0,0,13347.43773,0,1516.130875,282.7283717,96317.42076,-0.40722262,-0.590011077,0.00046939,0.58706001
2006/3/16,106.426,38.591,1,1104,0,100,0,0,0,0,0,0,0,0,0,0,2938.084188,0,8918.339373,273.5200849,87232.94197,-0.0772248,-0.004981175,4.66E-05,0.116440002
2006/7/17,99.592,36.901,1,3241,0,33,0,0,0,67,0,0,0,0,0,0,48295.10698,0,3555.059243,289.1282087,67677.18415,-2.114441003,0.415854525,0.008818285,0.72684502
2006/7/17,110.7376218,41.79630484,0,1456,48,0,0,0,0,52,0,0,0,0,0,0,34401.95188,0,31388.47106,295.8200858,84472.14397,-0.037564516,-0.298153988,0.001279796,0.217994995
2006/7/18,95.38262046,42.11861353,0,1578,100,0,0,0,0,0,0,0,0,0,0,0,42168.92241,0,45429.857,294.1493835,83393.9029,-4.097801345,-1.307681535,0.000920728,0.066934998
2006/7/18,99.768,36.908,1,3194,0,0,0,0,0,0,0,100,0,0,0,0,43968.96262,0,0,290.555372,69668.01897,-2.204281977,0.484835606,0.007520632,-0.3
2006/7/19,82.52807915,41.84105982,0,1303,100,0,0,0,0,0,0,0,0,0,0,0,15378.22669,0,15369.23655,297.2938015,86053.10045,0.300011984,-1.440241494,0.000286786,0.057390002
2006/7/19,99.61,36.942,1,3195,22,6,0,0,0,71,0,0,1,0,0,0,42247.36825,0,940.7798743,288.3752572,67786.86273,-1.030147059,0.086324454,0.009347035,0.62902002
2006/7/19,88.20781697,33.44134771,0,5268,36,6,0,0,0,57,0,0,0,0,0,0,99443.2149,0,10667.50088,278.5284947,53275.29018,-0.1773464,0.221505676,0.002782096,0.193465002
2006/7/19,99.601,37.012,1,3210,0,46,0,0,0,54,0,0,0,0,0,0,33807.56137,0,8786.820086,288.7572196,68604.75112,-1.219246371,0.102307066,0.009586409,0.47653999
2006/7/20,91.93800408,43.65891927,0,1941,100,0,0,0,0,0,0,0,0,0,0,0,47136.85569,0,52648.80877,290.8136161,80781.34487,1.2526943,-4.258524656,0.001222022,0.117155005
2006/7/20,99.738,36.926,1,3194,0,0,0,0,0,0,0,100,0,0,0,0,41456.67009,0,0,288.7077986,69120.76116,-0.91730438,-0.144241175,0.009684854,0.348630005
2006/7/21,99.618,36.917,1,3194,0,7,0,0,0,45,0,48,0,0,0,0,45214.92179,0,21.7123541,287.1319013,67924.20982,-0.285103134,-0.354093186,0.008432021,0.62902002
2006/7/21,115.2214891,30.46889162,0,50,0,100,0,0,0,0,0,0,0,0,0,0,845.5863916,1.75680232,1393.062539,302.7801906,99665.6875,0.227889844,0.850550409,0.000603374,0.677729981
2006/7/21,99.826,36.953,1,3195,0,41,0,0,0,51,0,8,0,0,0,0,38554.82624,0,0,287.6717791,68782.04241,-1.164908579,-0.382989832,0.007193437,0.29603999
2006/7/21,123.4808552,52.34463741,0,736,0,38,0,0,27,0,35,0,0,0,0,0,132885.6711,0,16610.66845,287.5533753,91316.67076,-0.229190333,-1.901852148,0.002756194,0.85254502
